Plate,Well,QCFlag_isSaturated,QCFlag_isBlurry
41744,h13,0,0
41744,h14,0,0
41744,h15,0,0
41744,h16,0,0
41744,h17,0,0
41744,h18,0,0
41744,h19,0,0
41744,h20,1,0
41744,h21,0,0
41744,h22,0,0
41744,h23,0,0
41744,h24,0,0
41744,i01,0,0
41744,i02,0,0
41744,i03,1,0
41744,i04,0,0
41744,i05,0,0
41744,i06,0,0
41744,i07,1,0
41744,i08,0,0
41744,i09,0,0
41744,i10,0,0
41744,i11,0,0
41744,i12,0,0
41744,i13,0,0
41744,i14,0,0
41744,i15,0,0
41744,i16,0,0
41744,i17,0,0
41744,i18,0,0
41744,i19,0,0
41744,i20,0,0
41744,i21,0,0
41744,i22,0,0
41744,i23,0,0
41744,i24,0,0
41744,j01,0,0
41744,j02,0,0
41744,j03,0,0
41744,j04,0,0
41744,j05,0,0
41744,j06,0,0
41744,j07,0,0
41744,j08,0,0
41744,j09,0,0
41744,j10,0,0
41744,j11,0,0
41744,j12,0,0
41744,j13,0,0
41744,j14,0,0
41744,j15,0,0
41744,j16,0,0
41744,j17,0,0
41744,j18,1,0
41744,j19,0,0
41744,j20,0,0
41744,j21,0,0
41744,j22,0,0
41744,j23,0,0
41744,j24,0,0
41744,k01,1,0
41744,k02,0,0
41744,k03,0,0
41744,k04,0,0
41744,k05,0,0
41744,k06,0,0
41744,k07,1,0
41744,k08,0,0
41744,k09,0,0
41744,k10,0,0
41744,k11,0,0
41744,k12,0,0
41744,k13,0,0
41744,k14,0,0
41744,k15,0,0
41744,k16,0,0
41744,k17,0,0
41744,k18,0,0
41744,k19,0,0
41744,k20,0,0
41744,k21,1,0
41744,k22,1,0
41744,k23,0,0
41744,k24,0,0
41744,l01,0,0
41744,l02,0,0
41744,l03,0,0
41744,l04,1,0
41744,l05,0,0
41744,l06,0,0
41744,l07,0,0
41744,l08,0,0
41744,l09,0,0
41744,l10,0,0
41744,l11,0,0
41744,l12,0,0
41744,l13,0,0
41744,l14,0,0
41744,l15,0,0
41744,l16,0,0
41744,l17,0,0
41744,l18,0,0
41744,l19,0,0
41744,l20,0,0
41744,l21,0,0
41744,l22,0,0
41744,l23,0,0
41744,l24,0,0
41744,m01,0,0
41744,m02,0,0
41744,m03,0,0
41744,m04,1,0
41744,m05,0,0
41744,m06,0,0
41744,m07,0,0
41744,m08,0,0
41744,m09,0,0
41744,m10,0,0
41744,m11,2,0
41744,m12,0,0
41744,m13,0,0
41744,m14,0,0
41744,m15,1,0
41744,m16,0,0
41744,m17,0,0
41744,m18,0,0
41744,m19,0,0
41744,m20,1,0
41744,m21,0,0
41744,m22,0,0
41744,m23,0,0
41744,m24,0,0
41744,n01,0,0
41744,n02,0,0
41744,n03,0,0
41744,n04,0,0
41744,n05,0,0
41744,n06,0,0
41744,n07,0,0
41744,n08,0,0
41744,n09,0,0
41744,n10,0,0
41744,n11,0,0
41744,n12,0,0
41744,n13,0,0
41744,n14,0,0
41744,n15,0,0
41744,n16,0,0
41744,n17,1,0
41744,n18,0,0
41744,n19,0,0
41744,n20,0,0
41744,n21,0,0
41744,n22,0,0
41744,n23,0,0
41744,n24,0,0
41744,o01,0,0
41744,o02,0,0
41744,o03,0,0
41744,o04,0,0
41744,o05,0,0
41744,o06,0,0
41744,o07,0,0
41744,o08,0,0
41744,o09,0,0
41744,o10,0,0
41744,o11,0,0
41744,o12,0,0
41744,o13,0,0
41744,o14,0,0
41744,o15,0,0
41744,o16,0,0
41744,o17,0,0
41744,o18,0,0
41744,o19,0,0
41744,o20,0,0
41744,o21,0,0
41744,o22,0,0
41744,o23,0,0
41744,o24,0,0
41744,p01,0,0
41744,p02,0,0
41744,p03,0,0
41744,p04,0,0
41744,p05,0,0
41744,p06,0,0
41744,p07,0,0
41744,p08,0,0
41744,p09,0,0
41744,p10,0,0
41744,p11,0,0
41744,p12,0,0
41744,p13,0,0
41744,p14,0,0
41744,p15,0,0
41744,p16,0,0
41744,p17,0,0
41744,p18,1,0
41744,p19,0,0
41744,p20,0,0
41744,p21,1,0
41744,p22,1,0
41744,p23,0,0
41744,p24,1,0
41749,a01,0,0
41749,a02,0,0
41749,a03,0,0
41749,a04,0,0
41749,a05,0,0
41749,a06,0,0
41749,a07,0,0
41749,a08,0,0
41749,a09,0,0
41749,a10,0,0
41749,a11,0,0
41749,a12,0,0
